id,customer_id,status,total,created_date,updated_date
1,1,Delivered,$860.18,2022-01-26 04:13:50,2022-01-26 04:13:50
2,2,Shipped,$573.37,2022-06-25 04:43:29,2022-06-25 04:43:29
3,3,Shipped,$297.76,2022-03-11 03:05:26,2022-03-11 03:05:26
4,4,Shipped,$924.43,2022-05-19 18:43:15,2022-05-19 18:43:15
5,5,Shipped,$101.08,2022-04-01 12:45:18,2022-04-01 12:45:18
6,6,Processing,$418.28,2022-05-25 08:57:46,2022-05-25 08:57:46
7,7,Shipped,$793.67,2022-08-27 15:25:14,2022-08-27 15:25:14
8,8,Delivered,$805.29,2022-06-18 07:03:39,2022-06-18 07:03:39
9,9,Delivered,$505.86,2022-03-13 07:41:01,2022-03-13 07:41:01
10,10,Shipped,$534.93,2022-12-03 02:04:18,2022-12-03 02:04:18
